fold,run_id,route,duration_s,model_err_m,baseline_err_m,oracle_err_m,model_drift_pct
0,S-M#0,M/M (Driver B),10.0,8.931,21.067,2.146,12.328
0,S-M#0,M/M (Driver B),10.0,10.445,20.467,1.743,13.932
0,S-M#0,M/M (Driver B),10.0,9.499,19.071,1.936,12.494
0,S-M#0,M/M (Driver B),10.0,9.609,11.601,0.829,13.687
0,S-M#0,M/M (Driver B),10.0,1.008,1.397,0.517,1.747
0,S-M#0,M/M (Driver B),10.0,0.484,1.218,0.333,0.8
0,S-M#0,M/M (Driver B),10.0,0.663,0.734,0.484,1.013
0,S-M#0,M/M (Driver B),10.0,1.103,0.773,0.363,1.707
0,S-M#0,M/M (Driver B),10.0,1.038,1.508,0.403,1.67
0,S-M#0,M/M (Driver B),10.0,1.351,2.422,0.636,2.368
0,S-M#0,M/M (Driver B),10.0,0.756,1.116,0.613,1.28
0,S-M#0,M/M (Driver B),10.0,2.448,1.173,0.327,4.067
0,S-M#0,M/M (Driver B),10.0,1.764,1.156,0.364,2.888
0,S-M#0,M/M (Driver B),10.0,1.457,1.592,0.493,2.41
0,S-M#0,M/M (Driver B),10.0,1.381,2.595,0.371,2.37
0,S-M#0,M/M (Driver B),10.0,0.935,1.403,0.604,1.6
0,S-M#0,M/M (Driver B),10.0,2.25,9.179,0.68,4.282
0,S-M#0,M/M (Driver B),10.0,18.343,94.887,2.071,35.709
0,S-M#0,M/M (Driver B),10.0,4.126,12.087,0.919,17.732
0,S-M#0,M/M (Driver B),10.0,13.974,42.586,6.913,31.664
0,S-M#0,M/M (Driver B),10.0,14.398,24.231,2.942,15.184
0,S-M#0,M/M (Driver B),10.0,12.7,76.123,1.56,10.511
0,S-M#0,M/M (Driver B),10.0,12.321,41.462,2.71,10.124
0,S-M#0,M/M (Driver B),10.0,11.318,142.449,4.769,6.966
0,S-M#0,M/M (Driver B),10.0,36.802,127.047,4.873,20.883
0,S-M#0,M/M (Driver B),10.0,28.44,1.204,2.535,16.432
0,S-M#0,M/M (Driver B),10.0,31.71,142.604,0.434,17.589
0,S-M#0,M/M (Driver B),10.0,14.752,54.225,43.552,12.528
0,S-M#0,M/M (Driver B),10.0,61.826,124.769,49.045,33.504
0,S-M#0,M/M (Driver B),10.0,7.095,6.824,0.806,4.105
0,S-M#0,M/M (Driver B),10.0,9.155,27.534,1.194,5.684
0,S-M#0,M/M (Driver B),10.0,9.122,103.942,5.283,5.981
0,S-M#0,M/M (Driver B),10.0,26.196,51.202,1.067,16.128
0,S-M#0,M/M (Driver B),10.0,16.753,54.108,16.956,10.22
0,S-M#0,M/M (Driver B),10.0,20.132,39.828,1.562,15.543
0,S-M#0,M/M (Driver B),10.0,12.198,67.807,1.535,12.338
0,S-M#0,M/M (Driver B),10.0,11.811,13.977,1.043,9.104
0,S-M#0,M/M (Driver B),10.0,3.745,16.419,2.475,2.828
0,S-M#0,M/M (Driver B),10.0,20.058,94.868,3.127,16.532
0,S-M#0,M/M (Driver B),10.0,9.83,0.758,1.292,8.052
0,S-M#0,M/M (Driver B),10.0,14.105,55.917,2.407,11.391
0,S-M#0,M/M (Driver B),10.0,9.257,12.643,1.107,7.42
0,S-M#0,M/M (Driver B),10.0,8.936,80.459,1.378,7.371
0,S-M#0,M/M (Driver B),10.0,31.483,28.866,0.24,35.281
0,S-M#0,M/M (Driver B),10.0,8.75,28.304,1.941,8.684
0,S-M#0,M/M (Driver B),10.0,2.321,28.554,0.319,3.576
0,S-M#0,M/M (Driver B),10.0,7.473,26.177,1.544,7.18
0,S-M#0,M/M (Driver B),10.0,6.228,32.118,0.164,5.639
0,S-M#0,M/M (Driver B),10.0,1.769,26.217,1.071,2.249
0,S-M#0,M/M (Driver B),10.0,10.431,23.392,0.693,117.482
0,S-M#0,M/M (Driver B),10.0,2.96,12.013,1.29,24.206
0,S-M#0,M/M (Driver B),10.0,2.886,28.754,0.974,2.707
0,S-M#0,M/M (Driver B),10.0,13.286,5.97,0.313,10.227
0,S-M#0,M/M (Driver B),10.0,20.364,32.844,0.648,13.16
0,S-M#0,M/M (Driver B),10.0,22.324,23.843,0.138,12.846
0,S-M#0,M/M (Driver B),10.0,15.826,47.698,3.299,15.144
0,S-M#0,M/M (Driver B),10.0,13.669,118.935,1.185,13.359
