run_id,seq_id,family,driver,rows,duration_s,sample_dt_ms,sample_hz,n_gnss_fix,gnss_fix_dt_s,gnss_fix_hz,path_len_m,speed_mean_ms,speed_max_ms,moving_frac,gps_acc_med_m,valid_frac,valid_gnss_frac,valid_imu_frac,gap_count,speed_resid_mae_ms,file_mb,coupling,prepared,usable,reject_reason
S-M#0,S-M,M,Driver B,44226,4422.5,100.0,10.0,452,9.0,0.102,37111.0,9.78,23.12,0.896,3.0,0.999,0.999,1.0,0,2.161,19.8,0.9913,True,True,
S-M#1,S-M,M,Driver B,61748,6176.0,100.0,10.0,640,9.0,0.104,64867.0,12.1,27.02,0.889,3.0,0.996,0.996,1.0,1,1.75,19.8,0.9956,True,True,
S-S1#0,S-S1,S,Driver A,51746,5174.5,100.0,10.0,532,9.0,0.103,37204.0,8.53,18.82,0.863,3.0,0.998,0.998,1.0,0,1.698,9.6,0.9943,True,True,
S-S2#0,S-S2,S,Driver A,1864,186.3,100.0,10.0,14,9.001,0.075,396.0,5.7,9.73,0.418,2.0,1.0,1.0,1.0,0,2.99,17.5,0.8529,True,False,too_little_motion
S-S2#1,S-S2,S,Driver A,92012,9201.1,100.0,10.0,928,9.0,0.101,73363.0,9.72,28.6,0.836,3.0,1.0,1.0,1.0,0,1.873,17.5,0.9907,True,True,
S-S3a#0,S-S3a,S,Driver A,24621,2462.0,100.0,10.0,254,9.0,0.103,25372.0,11.37,26.83,0.93,3.0,0.999,0.999,1.0,0,1.745,4.6,0.9956,True,True,
S-S3b#0,S-S3b,S,Driver A,2043,204.2,100.0,10.0,21,9.0,0.103,1004.0,7.35,12.54,0.813,4.0,1.0,1.0,1.0,0,2.809,1.3,0.771,True,True,
S-S3b#1,S-S3b,S,Driver A,4770,476.9,100.0,10.0,54,9.0,0.113,2629.0,6.27,11.66,0.907,3.0,1.0,1.0,1.0,0,1.802,1.3,0.9993,True,True,
S-S3c#0,S-S3c,S,Driver A,37183,3718.2,100.0,10.0,391,9.0,0.105,43285.0,13.1,32.3,0.9,4.0,0.989,0.989,1.0,0,1.552,6.9,0.999,True,True,
S-S4#0,S-S4,S,Driver A,35186,3518.5,100.0,10.0,353,9.0,0.1,27427.0,9.61,17.43,0.818,3.0,1.0,1.0,1.0,0,1.994,17.6,0.9917,True,True,
S-S4#1,S-S4,S,Driver A,55781,5578.0,100.0,10.0,539,9.0,0.097,59248.0,12.76,29.35,0.847,3.0,1.0,1.0,1.0,0,1.775,17.6,0.967,True,True,
S-S4#2,S-S4,S,Driver A,3633,363.2,100.0,10.0,41,9.0,0.113,4760.0,14.29,20.52,0.931,4.0,0.912,0.912,1.0,0,1.795,17.6,,False,False,not_paired
