epoch,train_loss,val_loss,val_speed_mae_ms,val_dpsi_mae_rad,val_dpsi_mae_deg,lr,secs
1,0.224792,0.161623,3.0329,0.036987,2.1192,0.7220,1.91e-04,5.8
2,0.150235,0.133334,2.7052,0.027647,1.5840,0.6420,3.95e-04,6.1
3,0.126338,0.117135,2.5744,0.022906,1.3124,0.6009,7.14e-04,6.1
4,0.109595,0.101684,2.3406,0.020915,1.1983,0.5543,1.12e-03,6.1
5,0.097645,0.107277,2.4498,0.020843,1.1942,0.5516,1.56e-03,6.2
6,0.089648,0.093768,2.2650,0.021304,1.2206,0.5407,2.01e-03,6.1
7,0.084427,0.094295,2.1970,0.023330,1.3367,0.5308,2.41e-03,6.3
8,0.079971,0.083941,2.0709,0.020441,1.1712,0.5114,2.73e-03,6.1
9,0.076219,0.086873,2.1354,0.020836,1.1938,0.5043,2.93e-03,6.1
10,0.073894,0.081634,1.9990,0.020438,1.1710,0.5007,3.00e-03,5.9
11,0.069765,0.089795,2.2157,0.019361,1.1093,0.4991,2.99e-03,6.2
12,0.066414,0.089549,2.1645,0.020105,1.1519,0.5019,2.97e-03,6.2
13,0.064897,0.082033,2.1069,0.019651,1.1259,0.5014,2.93e-03,6.1
14,0.063532,0.081490,1.9692,0.022211,1.2726,0.4956,2.87e-03,6.2
15,0.060013,0.077655,1.9988,0.018524,1.0613,0.4810,2.80e-03,6.1
16,0.058912,0.079122,1.9899,0.018801,1.0772,0.4833,2.71e-03,6.3
17,0.056939,0.076798,1.9718,0.019598,1.1229,0.4724,2.61e-03,6.1
18,0.056215,0.075882,1.9461,0.019229,1.1018,0.4686,2.50e-03,6.2
19,0.054375,0.079828,2.0233,0.018700,1.0715,0.4647,2.38e-03,6.0
20,0.052545,0.080181,2.0203,0.018349,1.0513,0.4621,2.25e-03,6.1
21,0.051988,0.076833,1.9959,0.018590,1.0651,0.4642,2.11e-03,6.1
22,0.050100,0.075728,1.9683,0.017863,1.0235,0.4618,1.96e-03,6.2
23,0.049009,0.079492,2.0150,0.020012,1.1466,0.4564,1.81e-03,6.2
24,0.047913,0.075636,1.9641,0.017666,1.0122,0.4535,1.66e-03,6.3
25,0.047496,0.076326,1.9856,0.017988,1.0307,0.4494,1.50e-03,6.2
26,0.046207,0.074322,1.9363,0.017235,0.9875,0.4604,1.34e-03,6.0
27,0.045370,0.074277,1.9288,0.017761,1.0176,0.4548,1.19e-03,6.2
28,0.044425,0.073393,1.9358,0.017350,0.9941,0.4480,1.04e-03,6.1
29,0.043651,0.074898,1.9548,0.017074,0.9782,0.4523,8.89e-04,6.1
30,0.042811,0.074333,1.9281,0.017658,1.0117,0.4550,7.50e-04,6.2
31,0.042176,0.073079,1.9098,0.018076,1.0357,0.4516,6.18e-04,6.1
32,0.041581,0.072913,1.9295,0.016847,0.9653,0.4526,4.96e-04,6.2
33,0.040932,0.074313,1.9457,0.017102,0.9799,0.4501,3.85e-04,6.4
34,0.040588,0.073717,1.9299,0.016757,0.9601,0.4484,2.86e-04,6.1
35,0.040018,0.073266,1.9276,0.016922,0.9696,0.4491,2.01e-04,6.0
36,0.039649,0.073413,1.9355,0.016964,0.9720,0.4483,1.29e-04,6.2
37,0.039434,0.073717,1.9285,0.016937,0.9704,0.4471,7.32e-05,6.3
38,0.039034,0.073423,1.9317,0.016979,0.9728,0.4467,3.27e-05,6.2
39,0.038963,0.073387,1.9289,0.016845,0.9652,0.4464,8.17e-06,6.3
40,0.038963,0.073450,1.9292,0.016850,0.9654,0.4464,1.21e-08,6.4
