epoch,train_loss,val_loss,val_speed_mae_ms,val_dpsi_mae_rad,val_dpsi_mae_deg,val_dv_mae_ms,lr,secs
1,0.248156,0.180415,4.7806,0.036561,2.0948,0.7386,1.90e-04,12.1
2,0.181236,0.124912,3.1976,0.032329,1.8523,0.6441,3.95e-04,12.0
3,0.156405,0.117431,3.0247,0.025367,1.4534,0.6238,7.14e-04,12.1
4,0.144997,0.111765,2.8222,0.023391,1.3402,0.6051,1.12e-03,11.3
5,0.138574,0.111227,2.6562,0.027018,1.5480,0.6331,1.56e-03,13.2
6,0.133695,0.106997,2.6669,0.022568,1.2931,0.6013,2.01e-03,11.4
7,0.129673,0.099992,2.6358,0.022369,1.2817,0.5812,2.41e-03,12.3
8,0.126446,0.102370,2.6134,0.020861,1.1952,0.5922,2.73e-03,11.3
9,0.123644,0.103948,2.5795,0.023632,1.3540,0.5946,2.93e-03,11.2
10,0.121373,0.100794,2.7827,0.022777,1.3051,0.5752,3.00e-03,11.2
11,0.119392,0.097918,2.5802,0.021096,1.2087,0.5767,2.99e-03,12.7
12,0.117530,0.095109,2.5192,0.024444,1.4005,0.5559,2.97e-03,11.6
13,0.116330,0.099792,2.5688,0.023320,1.3361,0.5715,2.93e-03,13.4
14,0.114529,0.097679,2.5912,0.021382,1.2251,0.5569,2.87e-03,11.6
15,0.113222,0.092875,2.6225,0.019567,1.1211,0.5479,2.80e-03,11.2
16,0.112352,0.098037,2.6798,0.020847,1.1945,0.5494,2.71e-03,12.7
17,0.111201,0.093865,2.5900,0.019441,1.1139,0.5427,2.61e-03,12.2
18,0.110008,0.090106,2.5000,0.019478,1.1160,0.5330,2.50e-03,11.3
19,0.109221,0.095404,2.6631,0.020118,1.1527,0.5471,2.38e-03,11.2
20,0.107824,0.091576,2.5284,0.018904,1.0831,0.5318,2.25e-03,10.3
21,0.106477,0.087118,2.4703,0.019716,1.1296,0.5128,2.11e-03,11.0
22,0.105103,0.091510,2.5475,0.023781,1.3625,0.5191,1.96e-03,11.5
23,0.104338,0.086367,2.4460,0.020497,1.1744,0.5155,1.81e-03,11.3
24,0.102868,0.085577,2.3982,0.020490,1.1740,0.5171,1.66e-03,10.9
25,0.102060,0.081180,2.3486,0.019182,1.0991,0.4986,1.50e-03,12.4
26,0.100989,0.084526,2.4416,0.018465,1.0580,0.5019,1.34e-03,10.3
27,0.099937,0.081541,2.3722,0.019594,1.1227,0.4967,1.19e-03,10.4
28,0.099170,0.079732,2.3423,0.018275,1.0471,0.4959,1.04e-03,12.2
29,0.098209,0.082486,2.4178,0.018421,1.0555,0.4928,8.90e-04,10.4
30,0.097289,0.080231,2.3461,0.019028,1.0902,0.4909,7.50e-04,10.1
31,0.096687,0.081245,2.3608,0.019841,1.1368,0.4954,6.18e-04,11.0
32,0.096238,0.079927,2.3381,0.017901,1.0257,0.4933,4.96e-04,10.7
33,0.095441,0.082191,2.3935,0.017713,1.0149,0.4959,3.85e-04,11.7
34,0.095302,0.079711,2.3242,0.017790,1.0193,0.4929,2.86e-04,10.6
35,0.094863,0.078676,2.2858,0.018403,1.0544,0.4916,2.01e-04,10.0
36,0.094271,0.078637,2.2902,0.017778,1.0186,0.4916,1.30e-04,9.8
37,0.093886,0.079839,2.3373,0.017701,1.0142,0.4898,7.34e-05,10.9
38,0.093783,0.079772,2.3243,0.017978,1.0301,0.4907,3.27e-05,11.2
39,0.093771,0.079091,2.3055,0.017856,1.0230,0.4902,8.20e-06,11.2
40,0.093732,0.079139,2.3059,0.017867,1.0237,0.4903,1.20e-08,11.3
