epoch,train_loss,val_loss,val_speed_mae_ms,val_dpsi_mae_rad,val_dpsi_mae_deg,lr,secs
1,0.201907,0.121903,2.8550,0.033500,1.9194,0.6662,1.90e-04,14.5
2,0.126554,0.101679,2.5718,0.026214,1.5019,0.6120,3.95e-04,14.9
3,0.109523,0.097804,2.6544,0.023025,1.3193,0.5768,7.14e-04,14.8
4,0.099708,0.085886,2.3714,0.022878,1.3108,0.5511,1.12e-03,15.1
5,0.092724,0.077889,2.2843,0.023331,1.3368,0.5133,1.56e-03,15.0
6,0.087784,0.080844,2.4121,0.020917,1.1984,0.5246,2.01e-03,15.1
7,0.083875,0.074293,2.2992,0.021624,1.2389,0.5010,2.41e-03,15.3
8,0.080990,0.077777,2.3114,0.023697,1.3578,0.5040,2.73e-03,15.3
9,0.078334,0.070306,2.2029,0.020049,1.1487,0.4926,2.93e-03,15.2
10,0.075805,0.072326,2.4232,0.020715,1.1869,0.4915,3.00e-03,15.2
11,0.073642,0.066256,2.1216,0.020022,1.1471,0.4756,2.99e-03,15.3
12,0.071467,0.072839,2.3489,0.020101,1.1517,0.4814,2.97e-03,15.1
13,0.069652,0.067349,2.1459,0.021546,1.2345,0.4762,2.93e-03,14.9
14,0.068014,0.068341,2.1766,0.021643,1.2400,0.4664,2.87e-03,15.0
15,0.066586,0.070244,2.2346,0.022827,1.3079,0.4763,2.80e-03,15.4
16,0.064820,0.065155,2.0820,0.020537,1.1767,0.4682,2.71e-03,15.1
17,0.064143,0.064463,2.0611,0.019079,1.0931,0.4652,2.61e-03,15.1
18,0.062364,0.065427,2.0846,0.020904,1.1977,0.4694,2.50e-03,14.9
19,0.061327,0.066810,2.0914,0.019755,1.1319,0.4676,2.38e-03,15.1
20,0.060520,0.063401,2.0452,0.019478,1.1160,0.4631,2.25e-03,15.0
21,0.059412,0.065422,2.0829,0.019506,1.1176,0.4596,2.11e-03,14.9
22,0.058329,0.065184,2.0746,0.020329,1.1648,0.4630,1.96e-03,15.3
23,0.057686,0.063410,2.0346,0.019777,1.1332,0.4516,1.81e-03,15.2
24,0.056787,0.065833,2.0424,0.019126,1.0958,0.4669,1.66e-03,15.1
25,0.055970,0.064457,2.0487,0.019741,1.1311,0.4575,1.50e-03,15.2
26,0.055099,0.063759,2.0241,0.020040,1.1482,0.4526,1.34e-03,15.2
27,0.054479,0.065289,2.0555,0.019352,1.1088,0.4590,1.19e-03,14.9
28,0.053662,0.065404,2.0517,0.019366,1.1096,0.4593,1.04e-03,15.0
29,0.052968,0.064325,2.0387,0.018642,1.0681,0.4593,8.90e-04,15.2
30,0.052257,0.062795,2.0082,0.018272,1.0469,0.4527,7.50e-04,14.7
31,0.051879,0.064207,2.0157,0.018680,1.0703,0.4595,6.18e-04,14.7
32,0.051224,0.063617,2.0061,0.018763,1.0751,0.4543,4.96e-04,14.9
33,0.050828,0.063341,1.9970,0.018479,1.0588,0.4533,3.85e-04,14.9
34,0.050369,0.063583,1.9980,0.018825,1.0786,0.4569,2.86e-04,14.7
35,0.049981,0.062845,2.0007,0.018719,1.0725,0.4522,2.01e-04,15.0
36,0.049675,0.063075,2.0104,0.018528,1.0616,0.4529,1.30e-04,14.9
37,0.049322,0.062857,1.9995,0.018437,1.0564,0.4526,7.34e-05,14.8
38,0.049217,0.062808,1.9948,0.018421,1.0555,0.4515,3.27e-05,14.9
39,0.049241,0.062791,1.9911,0.018418,1.0553,0.4520,8.20e-06,14.9
40,0.049039,0.062777,1.9913,0.018418,1.0553,0.4519,1.20e-08,14.8
