epoch,train_loss,val_loss,val_speed_mae_ms,val_dpsi_mae_rad,val_dpsi_mae_deg,lr,secs
1,0.261964,0.184674,3.2030,0.037843,2.1682,0.7993,1.91e-04,4.6
2,0.180955,0.152540,2.8820,0.029481,1.6891,0.7118,3.95e-04,4.7
3,0.151790,0.128862,2.7090,0.022771,1.3047,0.6333,7.14e-04,4.5
4,0.136049,0.123272,2.5454,0.021141,1.2113,0.6110,1.12e-03,4.6
5,0.126843,0.121097,2.5493,0.020066,1.1497,0.6175,1.56e-03,4.7
6,0.120918,0.112370,2.4060,0.020500,1.1746,0.5929,2.01e-03,4.6
7,0.114275,0.120101,2.5906,0.018475,1.0585,0.6000,2.41e-03,4.6
8,0.109733,0.112370,2.3695,0.021807,1.2495,0.5896,2.73e-03,4.5
9,0.106680,0.097749,2.1237,0.018390,1.0537,0.5732,2.93e-03,4.6
10,0.104304,0.104423,2.2312,0.017752,1.0171,0.5890,3.00e-03,4.5
11,0.100904,0.097726,2.1344,0.018507,1.0604,0.5616,2.99e-03,4.5
12,0.098144,0.096901,2.1132,0.019984,1.1450,0.5631,2.97e-03,4.6
13,0.096921,0.100798,2.2017,0.018731,1.0732,0.5752,2.93e-03,4.6
14,0.094766,0.109487,2.3846,0.019487,1.1165,0.5705,2.87e-03,4.6
15,0.092898,0.095087,2.0404,0.018373,1.0527,0.5833,2.80e-03,4.5
16,0.091405,0.095477,2.0895,0.022804,1.3066,0.5615,2.71e-03,4.9
17,0.090163,0.100219,2.1865,0.017632,1.0102,0.5602,2.61e-03,4.5
18,0.087923,0.095988,2.1090,0.017231,0.9873,0.5603,2.50e-03,4.5
19,0.086465,0.096125,2.1060,0.017209,0.9860,0.5564,2.38e-03,4.5
20,0.085519,0.096123,2.1430,0.017337,0.9933,0.5551,2.25e-03,4.6
21,0.083384,0.096021,2.1241,0.018569,1.0639,0.5499,2.11e-03,4.5
22,0.082408,0.101766,2.2384,0.017128,0.9813,0.5452,1.96e-03,4.6
23,0.081347,0.096748,2.1341,0.018717,1.0724,0.5507,1.81e-03,4.6
24,0.080092,0.091997,2.0515,0.017450,0.9998,0.5427,1.66e-03,4.7
25,0.077944,0.096135,2.1449,0.017951,1.0285,0.5429,1.50e-03,4.4
26,0.077141,0.098075,2.1868,0.016741,0.9592,0.5465,1.34e-03,4.6
27,0.075951,0.092102,2.0884,0.016968,0.9722,0.5410,1.19e-03,5.1
28,0.074679,0.092272,2.0723,0.016905,0.9686,0.5360,1.04e-03,4.5
29,0.073856,0.094940,2.1195,0.016534,0.9473,0.5427,8.89e-04,4.6
30,0.073012,0.097109,2.1583,0.016364,0.9376,0.5390,7.49e-04,4.5
31,0.071693,0.091257,2.0587,0.016443,0.9421,0.5378,6.18e-04,4.6
32,0.071148,0.097801,2.1880,0.016062,0.9203,0.5402,4.96e-04,4.5
33,0.070397,0.096097,2.1344,0.015998,0.9166,0.5416,3.85e-04,4.6
34,0.069638,0.093207,2.0869,0.015927,0.9126,0.5389,2.86e-04,4.4
35,0.069080,0.094606,2.1114,0.015834,0.9072,0.5375,2.01e-04,4.7
36,0.068657,0.092943,2.0814,0.015805,0.9056,0.5391,1.29e-04,4.7
37,0.068347,0.092742,2.0767,0.015877,0.9097,0.5384,7.32e-05,4.5
38,0.067878,0.093943,2.1025,0.015880,0.9099,0.5379,3.27e-05,4.7
39,0.067945,0.093898,2.1003,0.015888,0.9103,0.5380,8.17e-06,4.7
40,0.067506,0.093608,2.0956,0.015875,0.9096,0.5381,1.21e-08,4.6
