epoch,train_loss,val_loss,val_speed_mae_ms,val_dpsi_mae_rad,val_dpsi_mae_deg,lr,secs
1,0.231393,0.169706,3.0434,0.038670,2.2156,0.7655,1.91e-04,4.8
2,0.153028,0.133136,2.6823,0.027409,1.5704,0.6572,3.95e-04,4.4
3,0.126040,0.119516,2.5876,0.023932,1.3712,0.5948,7.14e-04,5.2
4,0.109640,0.107564,2.3958,0.020918,1.1985,0.5709,1.12e-03,5.2
5,0.097843,0.095882,2.2145,0.020379,1.1676,0.5531,1.56e-03,5.3
6,0.089150,0.116218,2.7512,0.020110,1.1522,0.5193,2.01e-03,5.0
7,0.083783,0.091811,2.1482,0.021818,1.2501,0.5290,2.41e-03,5.0
8,0.078600,0.083583,2.0667,0.019562,1.1208,0.5119,2.73e-03,5.3
9,0.074985,0.086454,2.0661,0.020509,1.1751,0.5077,2.93e-03,5.2
10,0.071444,0.082159,1.9951,0.019802,1.1346,0.5022,3.00e-03,5.1
11,0.069045,0.079850,2.0066,0.018904,1.0831,0.4948,2.99e-03,5.2
12,0.066464,0.084140,2.0870,0.019492,1.1168,0.4952,2.97e-03,5.1
13,0.063772,0.084693,2.0643,0.019052,1.0916,0.5020,2.93e-03,5.2
14,0.062298,0.083418,2.0375,0.018265,1.0465,0.4965,2.87e-03,5.1
15,0.060947,0.078384,2.0378,0.020017,1.1469,0.4816,2.80e-03,5.2
16,0.059229,0.075598,1.9301,0.019080,1.0932,0.4746,2.71e-03,5.2
17,0.057911,0.074929,2.0351,0.019479,1.1160,0.4671,2.61e-03,5.2
18,0.056243,0.076238,1.9112,0.018525,1.0614,0.4857,2.50e-03,5.2
19,0.054451,0.077535,1.9810,0.019255,1.1032,0.4812,2.38e-03,5.0
20,0.054135,0.081612,2.0676,0.017917,1.0266,0.4763,2.25e-03,5.2
21,0.052684,0.072828,1.9339,0.018571,1.0641,0.4629,2.11e-03,5.3
22,0.050819,0.079446,1.9803,0.018014,1.0321,0.4786,1.96e-03,4.9
23,0.050010,0.076093,1.9737,0.017993,1.0309,0.4676,1.81e-03,5.2
24,0.048829,0.076405,1.9810,0.017529,1.0044,0.4694,1.66e-03,5.1
25,0.047726,0.076234,2.0066,0.017460,1.0004,0.4604,1.50e-03,5.2
26,0.047090,0.072948,1.9465,0.017868,1.0238,0.4578,1.34e-03,5.2
27,0.046217,0.073780,1.9716,0.016870,0.9666,0.4570,1.19e-03,5.2
28,0.044903,0.075434,1.9792,0.017431,0.9987,0.4577,1.04e-03,5.2
29,0.044225,0.072834,1.9259,0.016643,0.9536,0.4583,8.89e-04,5.2
30,0.043661,0.073828,1.9573,0.016859,0.9659,0.4530,7.49e-04,5.2
31,0.042750,0.074874,1.9628,0.016793,0.9622,0.4560,6.18e-04,5.2
32,0.041946,0.072574,1.9359,0.016875,0.9669,0.4504,4.96e-04,5.1
33,0.041438,0.073779,1.9547,0.016793,0.9622,0.4519,3.85e-04,5.2
34,0.040993,0.073033,1.9523,0.016839,0.9648,0.4515,2.86e-04,5.2
35,0.040361,0.074436,1.9679,0.016570,0.9494,0.4515,2.01e-04,5.2
36,0.040354,0.073534,1.9584,0.016589,0.9505,0.4503,1.29e-04,5.2
37,0.039777,0.073431,1.9519,0.016678,0.9556,0.4502,7.32e-05,5.1
38,0.039682,0.073468,1.9525,0.016535,0.9474,0.4506,3.27e-05,5.0
39,0.039307,0.073372,1.9503,0.016545,0.9480,0.4496,8.17e-06,5.2
40,0.039229,0.073469,1.9510,0.016536,0.9474,0.4497,1.21e-08,5.2
