epoch,train_loss,val_loss,val_speed_mae_ms,val_dpsi_mae_rad,val_dpsi_mae_deg,lr,secs
1,0.224233,0.162769,2.9169,0.030666,1.7570,0.7656,1.91e-04,4.8
2,0.160366,0.134472,2.6527,0.024495,1.4034,0.6868,3.95e-04,5.2
3,0.139973,0.137780,2.8950,0.021539,1.2341,0.6230,7.14e-04,5.3
4,0.128335,0.122808,2.4940,0.024288,1.3916,0.6254,1.12e-03,5.2
5,0.119891,0.108289,2.2944,0.019212,1.1008,0.6053,1.56e-03,5.2
6,0.112849,0.107981,2.3758,0.019182,1.0991,0.5779,2.01e-03,5.2
7,0.108979,0.119979,2.5826,0.020259,1.1607,0.5929,2.41e-03,5.2
8,0.105343,0.097615,2.0929,0.021467,1.2300,0.5788,2.73e-03,5.2
9,0.102973,0.109858,2.4328,0.019750,1.1316,0.5763,2.93e-03,5.1
10,0.099526,0.103808,2.2684,0.017237,0.9876,0.5635,3.00e-03,5.2
11,0.097828,0.113659,2.5688,0.019095,1.0941,0.5519,2.99e-03,5.2
12,0.095450,0.096503,2.1112,0.020055,1.1491,0.5506,2.97e-03,4.9
13,0.093578,0.095914,2.1433,0.017001,0.9741,0.5623,2.93e-03,5.0
14,0.092346,0.096971,2.1236,0.017040,0.9763,0.5524,2.87e-03,5.0
15,0.090677,0.091651,2.0002,0.016794,0.9622,0.5574,2.80e-03,5.3
16,0.089172,0.094205,2.0748,0.017702,1.0143,0.5513,2.71e-03,5.1
17,0.087320,0.089524,1.9920,0.017049,0.9768,0.5495,2.61e-03,5.2
18,0.086121,0.089951,2.0112,0.017356,0.9944,0.5537,2.50e-03,5.2
19,0.085036,0.095912,2.1201,0.016839,0.9648,0.5526,2.38e-03,5.2
20,0.083416,0.090509,2.0014,0.016583,0.9502,0.5619,2.25e-03,5.2
21,0.081988,0.091688,2.0184,0.017622,1.0097,0.5460,2.11e-03,5.1
22,0.081221,0.097060,2.1292,0.016819,0.9637,0.5489,1.96e-03,4.9
23,0.080116,0.094940,2.0884,0.016784,0.9616,0.5493,1.81e-03,5.2
24,0.078576,0.094575,2.0442,0.017020,0.9752,0.5575,1.66e-03,5.0
25,0.077614,0.095742,2.0860,0.016584,0.9502,0.5518,1.50e-03,5.1
26,0.076777,0.093553,2.0387,0.016488,0.9447,0.5533,1.34e-03,5.2
27,0.075556,0.096416,2.1119,0.016906,0.9686,0.5466,1.19e-03,5.1
28,0.074152,0.092372,2.0257,0.017276,0.9899,0.5538,1.04e-03,5.1
29,0.073564,0.091858,2.0266,0.017042,0.9764,0.5482,8.89e-04,5.1
30,0.072953,0.092757,2.0223,0.016776,0.9612,0.5496,7.49e-04,5.2
31,0.071698,0.091649,1.9980,0.016616,0.9520,0.5487,6.18e-04,5.1
32,0.070841,0.096064,2.0748,0.016389,0.9390,0.5519,4.96e-04,5.2
33,0.070195,0.092308,2.0204,0.016254,0.9313,0.5441,3.85e-04,5.3
34,0.069366,0.093387,2.0333,0.016366,0.9377,0.5512,2.86e-04,5.2
35,0.068877,0.092458,2.0198,0.016026,0.9183,0.5482,2.01e-04,5.1
36,0.068416,0.092634,2.0204,0.016184,0.9273,0.5463,1.29e-04,5.2
37,0.068046,0.095123,2.0751,0.016098,0.9224,0.5453,7.32e-05,5.2
38,0.067646,0.093314,2.0367,0.016157,0.9257,0.5459,3.27e-05,5.3
39,0.067684,0.093068,2.0320,0.016121,0.9236,0.5456,8.17e-06,5.0
40,0.067730,0.092908,2.0288,0.016115,0.9233,0.5454,1.21e-08,5.1
